Id;Name;Country;CountryCode;Domain;WebPage;Localization;Abbreviations;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Actualizar universidade;Actualizar faculdade;Actualizar flag (F / V);"Eliminar universidade (""x"")";"Not Listed Institution (""x"")";"Eliminar faculdades (""x"")";"Mudar API List Name (""x"")";=;Fuzzy LookUp Match All Universities -- API LIST
0c789439-06f8-4be3-8f71-013fa9374dd4;Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Instituto Politecnico do Porto
69fa37df-443d-4b85-a8fe-014fa9097584;Katholieke Universiteit Leuven;;;;;;;44525.78155;;;;VERDADEIRO;;;F;;;;;Y;Katholieke Universiteit Leuven
463115b8-9713-45df-9935-01ef37595bab;Universidade do Porto - Faculdade de Belas-Artes;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade do Porto
15c724f2-613e-45b6-bd5c-02baf9932d6d;ESCE;;;;;;;44523.45744;;;;VERDADEIRO;Instituto Politécnico de Viana do Castelo;Escola Superior de Ciências Empresariais;F;;;;;N;ESME Sudria
ac3ee8d2-3c30-4c9b-a7c0-03751b06c5ba;Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
ef1b553d-b00d-406b-b5f9-05bcb31f937f;Wrocalw University of Economics;;;;;;;44494.68194;;;;VERDADEIRO;University of Wroclaw;;F;;;;;N;University of Wroclaw
4034f32a-5610-4791-8151-05f2b651cae5;Instituto Superior Manuel Teixeira Gomes;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
b0c1f93a-5c72-423d-9fcd-08db068711de;Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Coimbra
13ef245e-121b-4405-b9b8-098dbe259c6d;Alcaides de faria;;;;;;;44521.82412;;;;VERDADEIRO;Agrupamento de Escolas Alcaides de Faria;;;;x;;;N;
4328e2da-7310-45a8-a781-0ab071bb9893;World Academy;;;;;;;44523.5777;;;;VERDADEIRO;;;;;x;;;N;
c03fcdd9-402d-4642-b45d-0ac33d0ae464;LAUREATE INTERNATIONAL UNIVERSITIES;;;;;;;44512.96993;;;;VERDADEIRO;Laureate International Universities;;F;;;;;N;
247cabcf-d7a3-49df-be4f-0c27e45f8822;FATEC - SENAI/MT;;;;;;;44526.58149;;;;VERDADEIRO;Faculdade de Tecnologia Senai Mato Grosso;;F;;;x;;N;
7c4d4c8f-668d-4b9d-b5b3-0d39bbcb3362;universidade de Santiago;;;;;;;44525.83308;;;;VERDADEIRO;Universidade de Santiago;;F;;;;;N;Universidad Tecnológica de Santiago
2c3ac788-aebb-4871-9735-0e3c5575af8c;Universidade de Évora - Escola de Artes;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Universidade de Evora
13395b8b-b0ce-4ab9-be8d-0ea282270157;Faculdade de Ciências da Universidade do Porto;;;;;;;44476.90196;;;;VERDADEIRO;Universidade do Porto;Faculdade de Ciências;F;;;;;N;Universidade do Porto
bc5c5c4e-9251-4704-b88f-0f1dad40c8c4;Instituto Superior de Ciências Educativas;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Superior de Ciências Educativas
5398ff0c-0a5b-4cd2-926d-0f4638eab686;Instituto Politécnico de Beja - Escola Superior Agrária;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Beja
235583ce-d166-43d8-a5f6-0f8f85ab83be;University of South Wales;;;;;;;44505.46259;;;;VERDADEIRO;University of New South Wales;;F;;;;;N;University of New South Wales
da2a879a-7471-4857-9cde-100d40a99b0a;Profitecla;;;;;;;44521.81718;;;;VERDADEIRO;Escola Profissional Profitecla;;;;x;;;N;
200a580b-9a41-4499-8e6e-1015a3469e0e;FEUP - ICBAS;;;;;;;44444.85111;;;;FALSO;Universidade do Porto;Faculdade de Engenharia;;;;;;N;
